datetime	open	high	low	close	volume
02.10.2025 09:30	103700.0	103840.0	103700.0	103730.0	8
19.02.2026 15:04	115650.0	115690.0	115640.0	115680.0	70
19.02.2026 15:05	115680.0	115700.0	115680.0	115690.0	52
19.02.2026 15:06	115700.0	115700.0	115650.0	115650.0	38
19.02.2026 15:07	115660.0	115660.0	115620.0	115650.0	60
19.02.2026 15:08	115650.0	115670.0	115620.0	115620.0	50
19.02.2026 15:09	115640.0	115690.0	115630.0	115690.0	74
19.02.2026 15:10	115690.0	115710.0	115660.0	115710.0	52
19.02.2026 15:11	115710.0	115730.0	115680.0	115700.0	55
19.02.2026 15:12	115690.0	115690.0	115660.0	115680.0	34
19.02.2026 15:13	115690.0	115710.0	115670.0	115710.0	13
