datetime	open	high	low	close	volume
05.10.2025 00:00	99350.0	101690.0	99040.0	101690.0	51
06.10.2025 00:00	102000.0	103270.0	99390.0	102850.0	351
07.10.2025 00:00	103090.0	104400.0	102810.0	103670.0	197
08.10.2025 00:00	103980.0	104000.0	100170.0	101360.0	663
09.10.2025 00:00	101260.0	103490.0	99000.0	102960.0	466
10.10.2025 00:00	102660.0	103390.0	100400.0	100520.0	306
11.10.2025 00:00	100350.0	100990.0	99830.0	100990.0	8
12.10.2025 00:00	100870.0	100930.0	100870.0	100930.0	3
13.10.2025 00:00	101500.0	103040.0	100890.0	102480.0	391
14.10.2025 00:00	101990.0	103190.0	101110.0	101970.0	200
15.10.2025 00:00	102480.0	104010.0	102040.0	103510.0	226
16.10.2025 00:00	103000.0	108720.0	101700.0	108720.0	781
17.10.2025 00:00	107930.0	107950.0	105530.0	106320.0	430
18.10.2025 00:00	106810.0	107440.0	106810.0	107230.0	11
19.10.2025 00:00	107260.0	107260.0	106550.0	106550.0	6
20.10.2025 00:00	106570.0	108270.0	106470.0	108110.0	180
21.10.2025 00:00	107500.0	107500.0	101890.0	104020.0	776
22.10.2025 00:00	103870.0	104150.0	100930.0	102200.0	460
23.10.2025 00:00	100530.0	101620.0	99700.0	100900.0	352
24.10.2025 00:00	101100.0	102500.0	99820.0	101930.0	454
27.10.2025 00:00	100860.0	101320.0	97850.0	98180.0	560
28.10.2025 00:00	98950.0	100700.0	98770.0	100250.0	491
29.10.2025 00:00	100350.0	101340.0	99740.0	100300.0	260
30.10.2025 00:00	100230.0	101440.0	99610.0	100780.0	339
31.10.2025 00:00	101070.0	101070.0	98890.0	99700.0	502
01.11.2025 00:00	99850.0	100580.0	99590.0	99820.0	380
03.11.2025 00:00	100430.0	102550.0	100390.0	102110.0	395
05.11.2025 00:00	101710.0	101710.0	99000.0	99470.0	872
06.11.2025 00:00	99850.0	99990.0	99300.0	99720.0	300
07.11.2025 00:00	99250.0	101530.0	99070.0	100840.0	457
08.11.2025 00:00	100740.0	100740.0	100680.0	100680.0	2
09.11.2025 00:00	100720.0	100720.0	100680.0	100680.0	2
10.11.2025 00:00	101500.0	101930.0	100050.0	100210.0	462
11.11.2025 00:00	100130.0	101410.0	99350.0	100900.0	393
12.11.2025 00:00	101030.0	101030.0	99050.0	99700.0	499
13.11.2025 00:00	99870.0	100930.0	99850.0	100080.0	250
14.11.2025 00:00	99900.0	99900.0	98500.0	99400.0	577
15.11.2025 00:00	99250.0	99580.0	99250.0	99580.0	7
16.11.2025 00:00	98850.0	98880.0	98750.0	98820.0	19
17.11.2025 00:00	98510.0	98850.0	97900.0	98060.0	518
18.11.2025 00:00	97850.0	100600.0	97800.0	99850.0	951
19.11.2025 00:00	100700.0	105030.0	100380.0	103070.0	1643
20.11.2025 00:00	103500.0	107600.0	102500.0	107210.0	1222
21.11.2025 00:00	106500.0	108590.0	105980.0	107800.0	1073
24.11.2025 00:00	108660.0	109070.0	106580.0	107290.0	1007
25.11.2025 00:00	107540.0	108700.0	105600.0	107710.0	1346
26.11.2025 00:00	107640.0	107950.0	107090.0	107470.0	483
27.11.2025 00:00	107740.0	108160.0	105310.0	106190.0	595
28.11.2025 00:00	106000.0	109690.0	105750.0	109360.0	1051
29.11.2025 00:00	109380.0	109600.0	109130.0	109270.0	28
30.11.2025 00:00	109390.0	110320.0	109390.0	110290.0	95
01.12.2025 00:00	109740.0	110150.0	108400.0	109570.0	755
02.12.2025 00:00	109700.0	110390.0	107700.0	109280.0	1455
03.12.2025 00:00	108040.0	109580.0	106500.0	109210.0	1753
04.12.2025 00:00	109590.0	111270.0	109200.0	111010.0	2259
05.12.2025 00:00	111130.0	112820.0	110880.0	111640.0	2746
08.12.2025 00:00	112490.0	112700.0	110110.0	110770.0	2322
09.12.2025 00:00	110700.0	111960.0	110010.0	111300.0	2850
10.12.2025 00:00	111230.0	111650.0	108980.0	109400.0	2983
11.12.2025 00:00	109700.0	111080.0	108840.0	110200.0	5670
12.12.2025 00:00	110210.0	110480.0	108140.0	108240.0	3685
13.12.2025 00:00	108370.0	108600.0	108360.0	108550.0	140
14.12.2025 00:00	108750.0	108770.0	108110.0	108330.0	229
15.12.2025 00:00	108820.0	110610.0	108580.0	109470.0	9143
16.12.2025 00:00	109460.0	111110.0	109220.0	110460.0	9163
17.12.2025 00:00	110570.0	110880.0	107740.0	108540.0	36442
18.12.2025 00:00	108500.0	109700.0	107370.0	108050.0	71314
19.12.2025 00:00	108180.0	108870.0	106260.0	108560.0	88042
20.12.2025 00:00	108590.0	109320.0	108590.0	108840.0	2908
21.12.2025 00:00	108850.0	108900.0	108240.0	108330.0	1280
22.12.2025 00:00	108340.0	110500.0	107600.0	109420.0	71921
23.12.2025 00:00	109530.0	111440.0	109040.0	110590.0	57700
24.12.2025 00:00	110890.0	110890.0	108850.0	109770.0	58695
25.12.2025 00:00	109800.0	111190.0	109540.0	110720.0	39671
26.12.2025 00:00	110720.0	113120.0	110640.0	113120.0	57337
27.12.2025 00:00	113160.0	113500.0	113100.0	113370.0	2003
28.12.2025 00:00	113370.0	113620.0	112590.0	113530.0	3442
29.12.2025 00:00	113480.0	115200.0	110580.0	111420.0	96907
30.12.2025 00:00	111640.0	112320.0	110250.0	111210.0	51437
05.01.2026 00:00	110580.0	110580.0	107930.0	108550.0	41675
06.01.2026 00:00	108600.0	109690.0	108470.0	109570.0	29244
08.01.2026 00:00	108650.0	109140.0	107780.0	108610.0	40333
09.01.2026 00:00	108840.0	110120.0	108260.0	109890.0	37271
12.01.2026 00:00	109970.0	110700.0	109280.0	109280.0	41984
13.01.2026 00:00	109270.0	109960.0	108600.0	108850.0	41214
14.01.2026 00:00	108850.0	110950.0	108270.0	110160.0	70574
15.01.2026 00:00	110190.0	111130.0	109130.0	110840.0	62590
16.01.2026 00:00	110830.0	112240.0	110730.0	111890.0	50795
