ticker;net_pos;price_pos;strike;optiontype;optionbase;expdate;dayexp;OpenData;OpenPrice;OpenIV;QuikVola;RealIV;P/L;Vega;TrueVega
Si87000BP5B;-43;65.0;87000;Put;SiM5;10.04.2025;2;4.4.2025 10:18:25;584.78;22.61;36.82;40.42;-17.81;-318.12;-224.94
Si89000BP5B;-19;215.0;89000;Put;SiM5;10.04.2025;2;8.4.2025 9:58:32;244.84;32.86;30.37;30.88;1.98;-278.94;-197.24
Si92000BF5;36;3279.0;92000;Call;SiM5;19.06.2025;72;20.3.2025 10:32:15;3099.03;24.97;22.83;22.49;-2.48;5817.34;685.58
