DateTime;ticker;last_price
2025-03-19 11:24:22;RIM5;120240
2025-03-19 11:24:22;SiM5;87798
2025-03-19 11:24:22;CRM5;11.945
2025-03-19 11:24:22;GZM5;17690
2025-03-19 11:24:22;SRM5;34110
2025-03-19 11:25:59;RIM5;120270
2025-03-19 11:25:59;SiM5;87790
2025-03-19 11:25:59;CRM5;11.942
2025-03-19 11:25:59;GZM5;17683
2025-03-19 11:25:59;SRM5;34094
2025-03-19 11:27:06;RIM5;120150
2025-03-19 11:27:06;SiM5;87804
2025-03-19 11:27:06;CRM5;11.941
2025-03-19 11:27:06;GZM5;17687
2025-03-19 11:27:06;SRM5;34075
2025-03-19 11:28:07;RIM5;120170
2025-03-19 11:28:07;SiM5;87779
2025-03-19 11:28:07;CRM5;11.938
2025-03-19 11:28:07;GZM5;17672
2025-03-19 11:28:07;SRM5;34060
2025-03-19 11:29:08;RIM5;120160
2025-03-19 11:29:08;SiM5;87764
2025-03-19 11:29:08;CRM5;11.937
2025-03-19 11:29:08;GZM5;17653
2025-03-19 11:29:08;SRM5;34073
2025-03-19 11:30:10;RIM5;120180
2025-03-19 11:30:10;SiM5;87797
2025-03-19 11:30:10;CRM5;11.944
2025-03-19 11:30:10;GZM5;17661
2025-03-19 11:30:10;SRM5;34097
2025-03-19 11:31:11;RIM5;120110
2025-03-19 11:31:11;SiM5;87782
2025-03-19 11:31:11;CRM5;11.944
2025-03-19 11:31:11;GZM5;17669
2025-03-19 11:31:11;SRM5;34096
2025-03-19 11:32:13;RIM5;120160
2025-03-19 11:32:13;SiM5;87755
2025-03-19 11:32:13;CRM5;11.94
2025-03-19 11:32:13;GZM5;17670
2025-03-19 11:32:13;SRM5;34097
2025-03-19 11:33:15;RIM5;120120
2025-03-19 11:33:15;SiM5;87770
2025-03-19 11:33:15;CRM5;11.942
2025-03-19 11:33:15;GZM5;17670
2025-03-19 11:33:15;SRM5;34078
2025-03-19 11:34:16;RIM5;120190
2025-03-19 11:34:16;SiM5;87746
2025-03-19 11:34:16;CRM5;11.94
2025-03-19 11:34:16;GZM5;17670
2025-03-19 11:34:16;SRM5;34095
2025-03-19 11:35:18;RIM5;120190
2025-03-19 11:35:18;SiM5;87735
2025-03-19 11:35:18;CRM5;11.94
2025-03-19 11:35:18;GZM5;17667
2025-03-19 11:35:18;SRM5;34088
2025-03-19 11:36:20;RIM5;120220
2025-03-19 11:36:20;SiM5;87744
2025-03-19 11:36:20;CRM5;11.938
2025-03-19 11:36:20;GZM5;17650
2025-03-19 11:36:20;SRM5;34069
2025-03-19 11:37:48;RIM5;120270
2025-03-19 11:37:48;SiM5;87742
2025-03-19 11:37:48;CRM5;11.948
2025-03-19 11:37:48;GZM5;17657
2025-03-19 11:37:48;SRM5;34118
2025-03-19 11:38:50;RIM5;120370
2025-03-19 11:38:50;SiM5;87743
2025-03-19 11:38:50;CRM5;11.945
2025-03-19 11:38:50;GZM5;17667
2025-03-19 11:38:50;SRM5;34146
2025-03-19 11:39:53;RIM5;120450
2025-03-19 11:39:53;SiM5;87759
2025-03-19 11:39:53;CRM5;11.95
2025-03-19 11:39:53;GZM5;17662
2025-03-19 11:39:53;SRM5;34145
2025-03-19 11:40:55;RIM5;120450
2025-03-19 11:40:55;SiM5;87768
2025-03-19 11:40:55;CRM5;11.952
2025-03-19 11:40:55;GZM5;17665
2025-03-19 11:40:55;SRM5;34140
2025-03-19 11:41:57;RIM5;120520
2025-03-19 11:41:57;SiM5;87764
2025-03-19 11:41:57;CRM5;11.95
2025-03-19 11:41:57;GZM5;17665
2025-03-19 11:41:57;SRM5;34167
2025-03-19 11:42:58;RIM5;120510
2025-03-19 11:42:58;SiM5;87800
2025-03-19 11:42:58;CRM5;11.953
2025-03-19 11:42:58;GZM5;17668
2025-03-19 11:42:58;SRM5;34172
2025-03-19 11:44:00;RIM5;120560
2025-03-19 11:44:00;SiM5;87758
2025-03-19 11:44:00;CRM5;11.947
2025-03-19 11:44:00;GZM5;17683
2025-03-19 11:44:00;SRM5;34169
2025-03-19 11:45:01;RIM5;120730
2025-03-19 11:45:01;SiM5;87709
2025-03-19 11:45:01;CRM5;11.943
2025-03-19 11:45:01;GZM5;17705
2025-03-19 11:45:01;SRM5;34190
2025-03-19 11:46:02;RIM5;120910
2025-03-19 11:46:02;SiM5;87711
2025-03-19 11:46:02;CRM5;11.944
2025-03-19 11:46:02;GZM5;17700
2025-03-19 11:46:02;SRM5;34200
2025-03-19 11:47:04;RIM5;120770
2025-03-19 11:47:04;SiM5;87723
2025-03-19 11:47:04;CRM5;11.947
2025-03-19 11:47:04;GZM5;17701
2025-03-19 11:47:04;SRM5;34182
2025-03-19 11:48:05;RIM5;120700
2025-03-19 11:48:05;SiM5;87727
2025-03-19 11:48:05;CRM5;11.943
