	datetime	open	high	low	close	volume
0	30.09.2025 00:00	323.3	324.44	323.3	323.63	4
1	01.10.2025 00:00	322.83	322.83	319.01	320.0	7
2	02.10.2025 00:00	316.73	319.0	312.46	319.0	24
3	03.10.2025 00:00	319.0	319.0	317.08	317.08	4
4	04.10.2025 00:00	314.01	315.32	313.37	313.37	3
5	05.10.2025 00:00	311.3	314.42	311.3	313.0	18
6	06.10.2025 00:00	314.5	324.13	314.5	321.79	26
7	07.10.2025 00:00	320.02	324.27	320.02	324.27	14
8	08.10.2025 00:00	323.2	325.35	312.0	317.17	154
9	09.10.2025 00:00	318.1	324.84	312.29	321.89	81
10	10.10.2025 00:00	320.86	320.86	316.45	320.31	12
11	11.10.2025 00:00	316.89	316.89	316.89	316.89	2
12	13.10.2025 00:00	316.52	317.73	314.27	317.14	24
13	14.10.2025 00:00	314.04	316.98	314.04	316.98	4
14	15.10.2025 00:00	313.39	317.81	312.8	316.71	24
15	16.10.2025 00:00	314.94	334.0	313.82	329.46	95
16	17.10.2025 00:00	329.35	333.76	328.48	329.14	40
17	18.10.2025 00:00	334.25	336.11	334.25	335.34	11
18	19.10.2025 00:00	333.04	333.59	332.27	332.66	5
19	20.10.2025 00:00	333.36	335.82	332.7	332.7	12
20	21.10.2025 00:00	329.09	330.0	321.0	324.41	100
21	22.10.2025 00:00	323.1	324.78	314.56	317.37	37
22	23.10.2025 00:00	314.73	319.7	313.89	319.7	24
23	24.10.2025 00:00	317.32	323.68	314.26	314.44	33
24	27.10.2025 00:00	311.86	315.12	311.5	313.11	66
25	28.10.2025 00:00	314.74	317.97	312.5	315.92	39
26	29.10.2025 00:00	315.73	318.31	313.96	317.0	20
27	30.10.2025 00:00	319.66	323.71	319.63	321.66	51
28	31.10.2025 00:00	323.48	325.54	316.8	319.83	114
29	01.11.2025 00:00	322.2	325.17	318.72	319.44	42
30	03.11.2025 00:00	323.88	324.62	321.92	323.25	26
31	05.11.2025 00:00	321.67	323.74	319.9	322.79	20
32	06.11.2025 00:00	323.01	323.01	320.01	320.01	5
