	datetime	open	high	low	close	volume
0	30.09.2025 00:00	311.61	313.02	308.49	311.21	1265
1	01.10.2025 00:00	312.0	313.51	308.25	309.5	321
2	02.10.2025 00:00	308.54	309.37	305.9	308.5	504
3	03.10.2025 00:00	308.72	309.62	305.19	305.25	296
4	04.10.2025 00:00	305.03	305.03	302.3	302.79	102
5	05.10.2025 00:00	302.52	304.38	301.55	304.35	46
6	06.10.2025 00:00	305.01	313.49	304.37	312.5	1015
7	07.10.2025 00:00	313.56	318.15	311.24	316.53	781
8	08.10.2025 00:00	316.5	316.96	299.99	304.0	892
9	09.10.2025 00:00	304.17	312.82	300.8	312.41	1766
10	10.10.2025 00:00	310.01	311.37	306.11	308.18	1526
11	11.10.2025 00:00	306.02	306.97	305.43	306.97	72
12	12.10.2025 00:00	307.23	309.0	307.23	309.0	175
13	13.10.2025 00:00	309.14	310.62	304.15	307.18	896
14	14.10.2025 00:00	306.4	308.47	303.75	304.96	464
15	15.10.2025 00:00	305.42	306.77	303.51	305.0	890
16	16.10.2025 00:00	304.97	326.8	303.52	321.71	3246
17	17.10.2025 00:00	322.4	325.16	320.69	322.13	671
18	18.10.2025 00:00	322.28	326.4	322.28	325.44	128
19	19.10.2025 00:00	325.35	325.48	323.95	324.35	81
20	20.10.2025 00:00	324.38	326.97	324.32	325.51	722
21	21.10.2025 00:00	324.51	324.51	311.78	316.73	1681
22	22.10.2025 00:00	316.13	316.48	307.5	311.23	1491
23	23.10.2025 00:00	307.45	313.09	305.62	312.1	2202
24	24.10.2025 00:00	312.01	314.23	306.05	307.18	2454
25	27.10.2025 00:00	306.07	306.07	301.65	301.65	2402
26	28.10.2025 00:00	303.85	309.8	303.62	308.22	1706
27	29.10.2025 00:00	308.69	310.6	307.22	309.3	1235
28	30.10.2025 00:00	309.21	317.0	309.21	315.22	2543
29	31.10.2025 00:00	316.47	316.49	309.0	310.65	1012
30	01.11.2025 00:00	311.57	313.0	310.91	312.13	249
31	03.11.2025 00:00	313.85	318.16	313.85	316.13	599
32	05.11.2025 00:00	315.04	317.3	312.01	314.17	1403
33	06.11.2025 00:00	314.55	314.96	310.38	312.56	1110
34	07.11.2025 00:00	312.48	315.92	312.47	314.5	561
35	08.11.2025 00:00	314.54	316.43	314.36	316.04	405
36	09.11.2025 00:00	315.5	315.93	315.06	315.93	45
37	10.11.2025 00:00	316.31	320.43	315.83	317.99	885
38	11.11.2025 00:00	318.1	319.31	315.54	318.39	316
39	12.11.2025 00:00	318.42	319.29	314.29	316.4	669
40	13.11.2025 00:00	316.98	318.62	314.69	316.03	468
41	14.11.2025 00:00	315.99	315.99	312.5	314.26	650
42	15.11.2025 00:00	314.49	314.7	313.49	314.27	124
43	16.11.2025 00:00	313.58	313.7	313.58	313.58	3
44	17.11.2025 00:00	312.93	312.93	309.97	311.65	1308
45	18.11.2025 00:00	311.18	319.26	310.0	316.43	1745
46	19.11.2025 00:00	317.66	326.35	315.0	320.95	3767
47	20.11.2025 00:00	322.63	325.15	318.26	324.36	1750
48	21.11.2025 00:00	323.38	324.57	320.09	323.0	1381
49	24.11.2025 00:00	324.77	325.01	319.53	321.94	1825
50	25.11.2025 00:00	321.32	323.89	318.74	322.36	1670
51	26.11.2025 00:00	321.78	321.94	319.6	320.6	1145
52	27.11.2025 00:00	321.0	321.25	312.85	315.3	5370
53	28.11.2025 00:00	315.13	319.8	314.53	318.63	2671
54	29.11.2025 00:00	319.22	319.22	318.27	318.7	349
55	30.11.2025 00:00	318.73	320.29	318.55	319.72	492
56	01.12.2025 00:00	319.1	321.0	317.72	319.6	2466
57	02.12.2025 00:00	319.6	320.07	316.2	318.21	1812
58	03.12.2025 00:00	316.51	318.31	313.6	316.8	4257
59	04.12.2025 00:00	317.6	318.75	315.85	316.0	2200
60	05.12.2025 00:00	316.5	321.9	316.08	320.68	6286
61	08.12.2025 00:00	321.5	321.71	318.12	318.5	3721
62	09.12.2025 00:00	318.78	321.72	318.35	320.43	6753
63	10.12.2025 00:00	320.49	321.51	319.91	320.54	5645
64	11.12.2025 00:00	320.85	323.38	319.05	321.07	15344
65	12.12.2025 00:00	321.07	321.24	316.93	317.09	13341
66	13.12.2025 00:00	317.54	318.67	317.54	318.09	934
67	14.12.2025 00:00	318.25	318.25	317.35	317.94	738
68	15.12.2025 00:00	318.88	319.09	316.53	318.26	30804
69	16.12.2025 00:00	318.39	319.5	315.85	318.19	33944
70	17.12.2025 00:00	318.65	318.65	314.6	316.42	70428
71	18.12.2025 00:00	316.31	317.07	311.51	314.85	146630
72	19.12.2025 00:00	315.0	315.76	310.42	312.03	164930
73	20.12.2025 00:00	312.06	312.5	311.7	312.32	3272
74	21.12.2025 00:00	312.36	312.41	311.45	311.83	5092
75	22.12.2025 00:00	311.83	311.83	308.7	309.78	77476
76	23.12.2025 00:00	309.94	317.0	308.93	312.4	95956
